;files;Glasses?;forehead_up;forehead_ey;nose;eye_brows;hair_style;hair_type;facial_hair;jaw;ears;cheek_lines;mouth;eye_lines;face_shape
461;.\database\CHICAGO_MIX\C_FACE_MIX_0461.jpg;N;Oval;Close Set;Button;Rounded;Medium length;Straight;clean shaven;oval;narrow;no dimples;natural;downturned;oval
462;.\database\CHICAGO_MIX\C_FACE_MIX_0462.jpg;N;Square;Close Set;Droopy;Flat;Medium length;Straight;clean shaven;oval;round;no dimples;thin;upturned;square
463;.\database\CHICAGO_MIX\C_FACE_MIX_0463.jpg;N;Oval;Close Set;Upturned;Soft Angled;Medium length;Straight;clean shaven;trianagle;pointed;no dimples;natural;almond;oval
464;.\database\CHICAGO_MIX\C_FACE_MIX_0464.jpg;N;Oval;Close Set;Button;Flat;Bun;Straight;clean shaven;trianagle;narrow;no dimples;thin;monolid;round
465;.\database\CHICAGO_MIX\C_FACE_MIX_0465.jpg;N;Round;Close Set;Upturned;Soft Angled;Medium length;Straight;clean shaven;fat;narrow;no dimples;thin upper;monolid;round
466;.\database\CHICAGO_MIX\C_FACE_MIX_0466.jpg;N;Oval;Wide set;Droopy;Curved;Bun;Wavy;clean shaven;diamond;sticking out;no dimples;thin upper;almond;heart
467;.\database\CHICAGO_MIX\C_FACE_MIX_0467.jpg;N;Square;Close Set;Button;Flat;Medium length;Wavy;clean shaven;oval;pointed;no dimples;full;downturned;round
468;.\database\CHICAGO_MIX\C_FACE_MIX_0468.jpg;N;Oval;Close Set;Droopy;Angled;Bun;Wavy;clean shaven;oval;narrow;no dimples;small;round;oval
469;.\database\CHICAGO_MIX\C_FACE_MIX_0469.jpg;N;Long;Close Set;Snub;Flat;Pinned back;Straight;clean shaven;trianagle;attached;no dimples;full;almond;diamond
470;.\database\CHICAGO_MIX\C_FACE_MIX_0470.jpg;N;Oval;Close Set;Droopy;Rounded;Pinned back;Wavy;clean shaven;trianagle;round;no dimples;full;round;heart
471;.\database\CHICAGO_MIX\C_FACE_MIX_0471.jpg;N;Long;Wide set;Button;Flat;Short womens;Wavy;clean shaven;oval;sticking out;no dimples;thin;round;round
472;.\database\CHICAGO_MIX\C_FACE_MIX_0472.jpg;N;Long;Wide set;Button;Flat;Short womens;Wavy;clean shaven;trianagle;sticking out;no dimples;thin;round;oval
473;.\database\CHICAGO_MIX\C_FACE_MIX_0473.jpg;N;Oval;Wide set;Button;Angled;Medium length;Wavy;clean shaven;diamond;sticking out;no dimples;thin upper;upturned;diamond
474;.\database\CHICAGO_MIX\C_FACE_MIX_0474.jpg;N;Oval;Wide set;Button;Curved;Medium length;Wavy;clean shaven;diamond;sticking out;no dimples;thin upper;almond;heart
475;.\database\CHICAGO_MIX\C_FACE_MIX_0475.jpg;N;Round;Wide set;Button;Curved;Medium length;Wavy;clean shaven;diamond;sticking out;no dimples;thin;almond;diamond
476;.\database\CHICAGO_MIX\C_FACE_MIX_0476.jpg;N;Long;Wide set;Droopy;Rounded;Medium length;Wavy;clean shaven;trianagle;sticking out;no dimples;natural;almond;diamond
477;.\database\CHICAGO_MIX\C_FACE_MIX_0477.jpg;N;Oval;Wide set;Button;Curved;Short womens;Wavy;clean shaven;oval;attached;no dimples;thin;round;round
478;.\database\CHICAGO_MIX\C_FACE_MIX_0478.jpg;N;Square;Wide set;Aquiline;Flat;Long Hair;Wavy;clean shaven;trianagle;sticking out;no dimples;thin;almond;diamond
479;.\database\CHICAGO_MIX\C_FACE_MIX_0479.jpg;N;Long;Wide set;Droopy;Angled;Short womens;Straight;clean shaven;fat;narrow;no dimples;small;monolid;oval
480;.\database\CHICAGO_MIX\C_FACE_MIX_0480.jpg;N;Long;Wide set;Droopy;Flat;Pony Tail;Straight;clean shaven;thin;narrow;no dimples;natural;round;oval
481;.\database\CHICAGO_MIX\C_FACE_MIX_0481.jpg;N;Oval;Wide set;Roman;Curved;Pony Tail;Straight;clean shaven;fat;sticking out;no dimples;thin;almond;round
482;.\database\CHICAGO_MIX\C_FACE_MIX_0482.jpg;N;Long;Close Set;Aquiline;Curved;Medium length;Straight;clean shaven;fat;sticking out;no dimples;thin;round;round
483;.\database\CHICAGO_MIX\C_FACE_MIX_0483.jpg;N;Oval;Close Set;Button;Curved;Short womens;Straight;clean shaven;thin;sticking out;no dimples;thin;downturned;square
484;.\database\CHICAGO_MIX\C_FACE_MIX_0484.jpg;N;Oval;Close Set;Roman;Flat;Short womens;Wavy;clean shaven;diamond;sticking out;no dimples;thin upper;round;oval
485;.\database\CHICAGO_MIX\C_FACE_MIX_0485.jpg;N;Oval;Wide set;Button;Flat;Short womens;Straight;clean shaven;diamond;sticking out;no dimples;thin;almond;diamond
486;.\database\CHICAGO_MIX\C_FACE_MIX_0486.jpg;N;Oval;Wide set;Upturned;Rounded;Medium length;Straight;clean shaven;oval;sticking out;no dimples;small;round;oval
487;.\database\CHICAGO_MIX\C_FACE_MIX_0487.jpg;N;Long;Close Set;Button;Flat;Pony Tail;Straight;clean shaven;oval;sticking out;no dimples;thin;almond;oval
488;.\database\CHICAGO_MIX\C_FACE_MIX_0488.jpg;N;Long;Close Set;Button;Rounded;Short womens;Straight;clean shaven;thin;sticking out;no dimples;small;almond;oval
489;.\database\CHICAGO_MIX\C_FACE_MIX_0489.jpg;N;Square;Close Set;Button;Flat;Medium length;Wavy;clean shaven;oval;sticking out;no dimples;thin;upturned;square
490;.\database\CHICAGO_MIX\C_FACE_MIX_0490.jpg;N;Oval;Wide set;Droopy;Flat;Short womens;Straight;clean shaven;diamond;sticking out;no dimples;natural;round;oval
491;.\database\CHICAGO_MIX\C_FACE_MIX_0491.jpg;N;Oval;Wide set;Droopy;Rounded;Medium length;Wavy;clean shaven;diamond;sticking out;no dimples;natural;hooded;diamond
492;.\database\CHICAGO_MIX\C_FACE_MIX_0492.jpg;N;Square;Close Set;Aquiline;Flat;Medium length;Straight;clean shaven;fat;attached;no dimples;thin;monolid;round
493;.\database\CHICAGO_MIX\C_FACE_MIX_0493.jpg;N;Long;Close Set;Button;Rounded;Medium length;Wavy;clean shaven;diamond;sticking out;no dimples;natural;almond;square
494;.\database\CHICAGO_MIX\C_FACE_MIX_0494.jpg;N;Round;Close Set;Aquiline;Flat;Long Hair;Straight;clean shaven;oval;sticking out;no dimples;natural;upturned;round
495;.\database\CHICAGO_MIX\C_FACE_MIX_0495.jpg;N;Long;Wide set;Upturned;Curved;Pony Tail;Wavy;clean shaven;thin;sticking out;no dimples;natural;round;oval
496;.\database\CHICAGO_MIX\C_FACE_MIX_0496.jpg;N;Oval;Wide set;Droopy;Flat;Medium length;Straight;clean shaven;diamond;sticking out;no dimples;thin;round;diamond
497;.\database\CHICAGO_MIX\C_FACE_MIX_0497.jpg;N;Round;Wide set;Roman;Angled;Pony Tail;Straight;clean shaven;trianagle;sticking out;no dimples;small;round;oval
498;.\database\CHICAGO_MIX\C_FACE_MIX_0498.jpg;N;Long;Wide set;Droopy;Curved;Medium length;Wavy;clean shaven;thin;sticking out;no dimples;thin;upturned;square
499;.\database\CHICAGO_MIX\C_FACE_MIX_0499.jpg;N;Square;Close Set;Upturned;Angled;Medium length;Straight;clean shaven;oval;sticking out;no dimples;small;upturned;diamond
500;.\database\CHICAGO_MIX\C_FACE_MIX_0500.jpg;N;Oval;Close Set;Upturned;Flat;Medium length;Curly;clean shaven;thin;sticking out;no dimples;thin;downturned;square
501;.\database\CHICAGO_MIX\C_FACE_MIX_0501.jpg;N;Round;Wide set;Aquiline;Angled;Pony Tail;Wavy;clean shaven;diamond;sticking out;no dimples;thin;almond;square
502;.\database\CHICAGO_MIX\C_FACE_MIX_0502.jpg;N;Long;Close Set;Droopy;Flat;Pony Tail;Straight;clean shaven;fat;sticking out;no dimples;full;almond;oval
503;.\database\CHICAGO_MIX\C_FACE_MIX_0503.jpg;N;Square;Close Set;Upturned;Rounded;Short womens;Wavy;clean shaven;fat;sticking out;no dimples;natural;upturned;round
504;.\database\CHICAGO_MIX\C_FACE_MIX_0504.jpg;N;Oval;Close Set;Button;Angled;Pony Tail;Straight;clean shaven;fat;sticking out;no dimples;small;almond;round
505;.\database\CHICAGO_MIX\C_FACE_MIX_0505.jpg;N;Long;Wide set;Roman;Curved;Long Hair;Straight;clean shaven;thin;sticking out;no dimples;thin;downturned;heart
506;.\database\CHICAGO_MIX\C_FACE_MIX_0506.jpg;N;Long;Close Set;Upturned;Rounded;Pony Tail;Straight;clean shaven;diamond;sticking out;no dimples;small;round;diamond
507;.\database\CHICAGO_MIX\C_FACE_MIX_0507.jpg;N;Square;Close Set;Droopy;Angled;Pony Tail;Wavy;clean shaven;diamond;sticking out;no dimples;natural;monolid;diamond
508;.\database\CHICAGO_MIX\C_FACE_MIX_0508.jpg;N;Square;Close Set;Button;Flat;Pixie cut;Straight;clean shaven;thin;sticking out;no dimples;thin;almond;heart
509;.\database\CHICAGO_MIX\C_FACE_MIX_0509.jpg;N;Long;Close Set;Droopy;Angled;Pixie cut;Straight;stubble;diamond;sticking out;no dimples;natural;upturned;oval
510;.\database\CHICAGO_MIX\C_FACE_MIX_0510.jpg;N;Square;Wide set;Roman;Rounded;Pixie cut;Straight;clean shaven;diamond;attached;no dimples;natural;upturned;diamond
511;.\database\CHICAGO_MIX\C_FACE_MIX_0511.jpg;N;Round;Wide set;Droopy;Flat;Pixie cut;Wavy;clean shaven;diamond;sticking out;no dimples;thin;downturned;oval
512;.\database\CHICAGO_MIX\C_FACE_MIX_0512.jpg;N;Long;Wide set;Droopy;Curved;Pixie cut;Straight;stubble;diamond;sticking out;no dimples;thin;hooded;diamond
513;.\database\CHICAGO_MIX\C_FACE_MIX_0513.jpg;N;Square;Wide set;Aquiline;Curved;Pixie cut;Straight;clean shaven;trianagle;sticking out;no dimples;small;almond;oval
514;.\database\CHICAGO_MIX\C_FACE_MIX_0514.jpg;N;Long;Close Set;Droopy;Flat;Pixie cut;Straight;clean shaven;trianagle;sticking out;no dimples;small;upturned;square
515;.\database\CHICAGO_MIX\C_FACE_MIX_0515.jpg;N;Round;Wide set;Droopy;Flat;Pixie cut;Straight;clean shaven;diamond;sticking out;no dimples;natural;upturned;diamond
516;.\database\CHICAGO_MIX\C_FACE_MIX_0516.jpg;N;Square;Close Set;Roman;Flat;Pixie cut;Straight;clean shaven;oval;sticking out;no dimples;thin;round;round
517;.\database\CHICAGO_MIX\C_FACE_MIX_0517.jpg;N;Square;Close Set;Roman;Rounded;Pixie cut;Straight;clean shaven;diamond;sticking out;no dimples;thin;upturned;diamond
518;.\database\CHICAGO_MIX\C_FACE_MIX_0518.jpg;N;Square;Wide set;Droopy;Flat;Pixie cut;Straight;clean shaven;diamond;sticking out;no dimples;thin;monolid;diamond
519;.\database\CHICAGO_MIX\C_FACE_MIX_0519.jpg;N;Square;Wide set;Button;Curved;Pixie cut;Wavy;clean shaven;oval;sticking out;no dimples;natural;downturned;diamond
520;.\database\CHICAGO_MIX\C_FACE_MIX_0520.jpg;N;Square;Wide set;Roman;Flat;Pixie cut;Straight;stubble;diamond;sticking out;no dimples;thin;downturned;diamond
521;.\database\CHICAGO_MIX\C_FACE_MIX_0521.jpg;N;Oval;Close Set;Aquiline;Flat;Pixie cut;Straight;clean shaven;diamond;sticking out;no dimples;small;round;oval
522;.\database\CHICAGO_MIX\C_FACE_MIX_0522.jpg;N;Round;Wide set;Droopy;Flat;Bald;Shaved;stubble;diamond;sticking out;no dimples;natural;round;oval
523;.\database\CHICAGO_MIX\C_FACE_MIX_0523.jpg;N;Square;Close Set;Button;Rounded;Pixie cut;Wavy;stubble;oval;sticking out;no dimples;small;almond;round
524;.\database\CHICAGO_MIX\C_FACE_MIX_0524.jpg;N;Square;Close Set;Upturned;Rounded;Pixie cut;Straight;clean shaven;diamond;sticking out;no dimples;thin;almond;diamond
525;.\database\CHICAGO_MIX\C_FACE_MIX_0525.jpg;N;Square;Wide set;Aquiline;Flat;Pixie cut;Wavy;stubble;trianagle;sticking out;no dimples;small;round;diamond
526;.\database\CHICAGO_MIX\C_FACE_MIX_0526.jpg;N;Oval;Wide set;Droopy;Curved;Pixie cut;Straight;stubble;oval;sticking out;no dimples;natural;hooded;round
527;.\database\CHICAGO_MIX\C_FACE_MIX_0527.jpg;N;Long;Close Set;Upturned;Flat;Pixie cut;Straight;stubble;trianagle;sticking out;no dimples;thin;downturned;diamond
528;.\database\CHICAGO_MIX\C_FACE_MIX_0528.jpg;N;Square;Wide set;Upturned;Flat;Pixie cut;Wavy;clean shaven;trianagle;sticking out;no dimples;natural;round;square
529;.\database\CHICAGO_MIX\C_FACE_MIX_0529.jpg;N;Square;Close Set;Upturned;Rounded;Pixie cut;Straight;clean shaven;trianagle;sticking out;no dimples;small;almond;oval
530;.\database\CHICAGO_MIX\C_FACE_MIX_0530.jpg;N;Long;Close Set;Droopy;Rounded;Bob;Wavy;clean shaven;thin;sticking out;no dimples;natural;almond;diamond
531;.\database\CHICAGO_MIX\C_FACE_MIX_0531.jpg;N;Oval;Wide set;Aquiline;Soft Angled;Pixie cut;Straight;stubble;oval;sticking out;no dimples;natural;round;oval
532;.\database\CHICAGO_MIX\C_FACE_MIX_0532.jpg;N;Round;Close Set;Button;Flat;Pixie cut;Straight;stubble;diamond;sticking out;no dimples;thin;almond;heart
533;.\database\CHICAGO_MIX\C_FACE_MIX_0533.jpg;N;Square;Close Set;Button;Flat;Pixie cut;Straight;clean shaven;diamond;sticking out;no dimples;thin;almond;square
534;.\database\CHICAGO_MIX\C_FACE_MIX_0534.jpg;N;Long;Close Set;Droopy;Flat;Pixie cut;Wavy;clean shaven;diamond;sticking out;no dimples;small;almond;heart
535;.\database\CHICAGO_MIX\C_FACE_MIX_0535.jpg;N;Long;Close Set;Aquiline;Flat;Pixie cut;Straight;stubble;diamond;sticking out;no dimples;natural;round;square
536;.\database\CHICAGO_MIX\C_FACE_MIX_0536.jpg;N;Long;Wide set;Button;Soft Angled;Pixie cut;Straight;clean shaven;oval;sticking out;no dimples;full;almond;oval
537;.\database\CHICAGO_MIX\C_FACE_MIX_0537.jpg;N;Long;Wide set;Button;Flat;Pixie cut;Wavy;clean shaven;oval;sticking out;no dimples;small;hooded;oval
538;.\database\CHICAGO_MIX\C_FACE_MIX_0538.jpg;N;Oval;Wide set;Upturned;Flat;Pixie cut;Curly;clean shaven;diamond;sticking out;no dimples;full;round;diamond
539;.\database\CHICAGO_MIX\C_FACE_MIX_0539.jpg;N;Long;Wide set;Button;Flat;Bob;Wavy;clean shaven;oval;sticking out;no dimples;small;hooded;oval
540;.\database\CHICAGO_MIX\C_FACE_MIX_0540.jpg;N;Oval;Close Set;Aquiline;Flat;Dreadlocks;Straight;clean shaven;oval;sticking out;no dimples;thin;round;oval
541;.\database\CHICAGO_MIX\C_FACE_MIX_0541.jpg;N;Round;Close Set;Aquiline;Rounded;Bob;Straight;clean shaven;diamond;sticking out;no dimples;thin;almond;heart
542;.\database\CHICAGO_MIX\C_FACE_MIX_0542.jpg;N;Long;Wide set;Aquiline;Flat;Pixie cut;Wavy;clean shaven;trianagle;sticking out;no dimples;natural;downturned;diamond
543;.\database\CHICAGO_MIX\C_FACE_MIX_0543.jpg;N;Round;Close Set;Upturned;Flat;Pixie cut;Wavy;stubble;oval;sticking out;no dimples;small;almond;round
544;.\database\CHICAGO_MIX\C_FACE_MIX_0544.jpg;N;Oval;Close Set;Droopy;Rounded;Pixie cut;Wavy;clean shaven;diamond;sticking out;no dimples;small;round;diamond
545;.\database\CHICAGO_MIX\C_FACE_MIX_0545.jpg;N;Oval;Close Set;Droopy;Soft Angled;Bald;Shaved;clean shaven;fat;sticking out;no dimples;thin;monolid;round
546;.\database\CHICAGO_MIX\C_FACE_MIX_0546.jpg;N;Round;Wide set;Upturned;Soft Angled;Pixie cut;Straight;stubble;diamond;sticking out;no dimples;natural;almond;diamond
547;.\database\CHICAGO_MIX\C_FACE_MIX_0547.jpg;N;Long;Wide set;Upturned;Flat;Pixie cut;Straight;stubble;trianagle;sticking out;no dimples;thin;almond;oval
548;.\database\CHICAGO_MIX\C_FACE_MIX_0548.jpg;N;Long;Close Set;Droopy;Flat;Pixie cut;Straight;stubble;oval;sticking out;no dimples;thin;upturned;round
549;.\database\CHICAGO_MIX\C_FACE_MIX_0549.jpg;N;Oval;Wide set;Aquiline;Flat;Pixie cut;Straight;clean shaven;diamond;sticking out;no dimples;natural;downturned;heart
550;.\database\CHICAGO_MIX\C_FACE_MIX_0550.jpg;N;Long;Close Set;Droopy;Flat;Pixie cut;Wavy;clean shaven;oval;sticking out;no dimples;small;almond;oval
551;.\database\CHICAGO_MIX\C_FACE_MIX_0551.jpg;N;Round;Wide set;Upturned;Soft Angled;Dreadlocks;Wavy;clean shaven;oval;attached;no dimples;thin;monolid;oval
552;.\database\CHICAGO_MIX\C_FACE_MIX_0552.jpg;N;Long;Close Set;Button;Angled;Pixie cut;Curly;clean shaven;oval;pointed;no dimples;thin lower;hooded;round
553;.\database\CHICAGO_MIX\C_FACE_MIX_0553.jpg;N;Long;Close Set;Droopy;Curved;Pixie cut;Straight;clean shaven;diamond;broad;no dimples;small;monolid;diamond
554;.\database\CHICAGO_MIX\C_FACE_MIX_0554.jpg;N;Round;Close Set;Droopy;Flat;Pixie cut;Curly;clean shaven;oval;broad;no dimples;thin upper;upturned;round
555;.\database\CHICAGO_MIX\C_FACE_MIX_0555.jpg;N;Round;Close Set;Funnel;Rounded;Dreadlocks;Wavy;clean shaven;oval;narrow;no dimples;thin upper;upturned;oval
556;.\database\CHICAGO_MIX\C_FACE_MIX_0556.jpg;N;Oval;Close Set;Button;Flat;Pixie cut;Straight;clean shaven;trianagle;attached;no dimples;thin;hooded;oval
557;.\database\CHICAGO_MIX\C_FACE_MIX_0557.jpg;N;Long;Close Set;Droopy;Rounded;Pixie cut;Straight;clean shaven;trianagle;narrow;no dimples;small;upturned;diamond
558;.\database\CHICAGO_MIX\C_FACE_MIX_0558.jpg;N;Round;Close Set;Upturned;Rounded;Pixie cut;Straight;clean shaven;trianagle;narrow;no dimples;thin upper;downturned;oval
559;.\database\CHICAGO_MIX\C_FACE_MIX_0559.jpg;N;Round;Close Set;Droopy;Rounded;Pixie cut;Straight;clean shaven;fat;narrow;no dimples;thin upper;downturned;oval
560;.\database\CHICAGO_MIX\C_FACE_MIX_0560.jpg;N;Long;Wide set;Upturned;Flat;Pixie cut;Straight;clean shaven;trianagle;sticking out;no dimples;natural;monolid;square
561;.\database\CHICAGO_MIX\C_FACE_MIX_0561.jpg;N;Long;Wide set;Hooked;Curved;Pixie cut;Straight;clean shaven;oval;attached;no dimples;thin upper;upturned;round
562;.\database\CHICAGO_MIX\C_FACE_MIX_0562.jpg;N;Long;Close Set;Snub;Soft Angled;Pixie cut;Straight;clean shaven;oval;sticking out;no dimples;thin upper;upturned;oval
563;.\database\CHICAGO_MIX\C_FACE_MIX_0563.jpg;N;Square;Close Set;Droopy;Flat;Pixie cut;Straight;clean shaven;oval;broad;no dimples;thin;monolid;square
564;.\database\CHICAGO_MIX\C_FACE_MIX_0564.jpg;N;Round;Close Set;Button;Angled;Dreadlocks;Straight;clean shaven;oval;narrow;no dimples;thin upper;monolid;heart
565;.\database\CHICAGO_MIX\C_FACE_MIX_0565.jpg;N;Long;Close Set;Button;Flat;Pixie cut;Straight;clean shaven;oval;attached;no dimples;thin;monolid;square
566;.\database\CHICAGO_MIX\C_FACE_MIX_0566.jpg;N;Oval;Close Set;Droopy;Curved;Dreadlocks;Straight;clean shaven;oval;broad;no dimples;thin;round;round
567;.\database\CHICAGO_MIX\C_FACE_MIX_0567.jpg;N;Round;Close Set;Droopy;Rounded;Pixie cut;Straight;clean shaven;oval;narrow;no dimples;natural;monolid;oval
568;.\database\CHICAGO_MIX\C_FACE_MIX_0568.jpg;N;Square;Close Set;Funnel;Soft Angled;Dreadlocks;Straight;clean shaven;oval;attached;no dimples;small;hooded;oval
569;.\database\CHICAGO_MIX\C_FACE_MIX_0569.jpg;N;Square;Close Set;Droopy;Angled;Pixie cut;Straight;clean shaven;oval;narrow;no dimples;small;upturned;round
570;.\database\CHICAGO_MIX\C_FACE_MIX_0570.jpg;N;Long;Close Set;Aquiline;Angled;Pixie cut;Straight;clean shaven;oval;attached;no dimples;thin;monolid;square
571;.\database\CHICAGO_MIX\C_FACE_MIX_0571.jpg;N;Long;Close Set;Roman;Angled;Pixie cut;Straight;clean shaven;fat;broad;no dimples;thin upper;monolid;round
572;.\database\CHICAGO_MIX\C_FACE_MIX_0572.jpg;N;Oval;Close Set;Aquiline;Soft Angled;Pixie cut;Straight;clean shaven;trianagle;broad;no dimples;full;upturned;diamond
573;.\database\CHICAGO_MIX\C_FACE_MIX_0573.jpg;N;Long;Close Set;Snub;Rounded;Pixie cut;Straight;clean shaven;oval;round;no dimples;thin;upturned;oval
574;.\database\CHICAGO_MIX\C_FACE_MIX_0574.jpg;N;Round;Close Set;Button;Rounded;Pixie cut;Straight;clean shaven;oval;broad;no dimples;natural;hooded;round
575;.\database\CHICAGO_MIX\C_FACE_MIX_0575.jpg;N;Oval;Close Set;Upturned;Rounded;Pixie cut;Straight;clean shaven;trianagle;narrow;no dimples;thin upper;monolid;oval
576;.\database\CHICAGO_MIX\C_FACE_MIX_0576.jpg;N;Square;Close Set;Droopy;Flat;Pixie cut;Straight;clean shaven;diamond;narrow;no dimples;thin;round;square
577;.\database\CHICAGO_MIX\C_FACE_MIX_0577.jpg;N;Long;Close Set;Button;Rounded;Pixie cut;Straight;clean shaven;oval;narrow;no dimples;thin;hooded;square
578;.\database\CHICAGO_MIX\C_FACE_MIX_0578.jpg;N;Long;Close Set;Button;Angled;Pixie cut;Straight;clean shaven;oval;narrow;no dimples;thin upper;monolid;round
579;.\database\CHICAGO_MIX\C_FACE_MIX_0579.jpg;N;Square;Close Set;Upturned;Angled;Pixie cut;Wavy;clean shaven;oval;broad;no dimples;natural;almond;square
580;.\database\CHICAGO_MIX\C_FACE_MIX_0580.jpg;N;Oval;Close Set;Roman;Angled;Dreadlocks;Straight;clean shaven;trianagle;round;no dimples;thin upper;monolid;oval
581;.\database\CHICAGO_MIX\C_FACE_MIX_0581.jpg;N;Oval;Close Set;Upturned;Soft Angled;Pixie cut;Straight;clean shaven;oval;attached;no dimples;natural;monolid;oval
582;.\database\CHICAGO_MIX\C_FACE_MIX_0582.jpg;N;Long;Wide set;Button;Curved;Pixie cut;Wavy;clean shaven;oval;attached;no dimples;natural;monolid;round
583;.\database\CHICAGO_MIX\C_FACE_MIX_0583.jpg;N;Round;Close Set;Droopy;Angled;Dreadlocks;Straight;clean shaven;oval;narrow;no dimples;small;downturned;oval
584;.\database\CHICAGO_MIX\C_FACE_MIX_0584.jpg;N;Long;Close Set;Droopy;Soft Angled;Pixie cut;Straight;clean shaven;trianagle;round;no dimples;small;monolid;oval
585;.\database\CHICAGO_MIX\C_FACE_MIX_0585.jpg;N;Long;Wide set;Button;Angled;Dreadlocks;Wavy;clean shaven;oval;narrow;no dimples;natural;monolid;square
586;.\database\CHICAGO_MIX\C_FACE_MIX_0586.jpg;N;Square;Close Set;Snub;Soft Angled;Pixie cut;Straight;clean shaven;thin;sticking out;no dimples;thin;monolid;square
587;.\database\CHICAGO_MIX\C_FACE_MIX_0587.jpg;N;Square;Close Set;Button;Curved;Pixie cut;Straight;clean shaven;oval;narrow;no dimples;natural;monolid;oval
588;.\database\CHICAGO_MIX\C_FACE_MIX_0588.jpg;N;Long;Close Set;Droopy;Flat;Pixie cut;Straight;clean shaven;oval;attached;no dimples;thin;downturned;round
589;.\database\CHICAGO_MIX\C_FACE_MIX_0589.jpg;N;Square;Close Set;Droopy;Angled;Mohawk;Straight;clean shaven;trianagle;round;no dimples;thin;monolid;square
590;.\database\CHICAGO_MIX\C_FACE_MIX_0590.jpg;N;Long;Close Set;Snub;Rounded;Pixie cut;Straight;clean shaven;oval;narrow;no dimples;thin;upturned;oval
591;.\database\CHICAGO_MIX\C_FACE_MIX_0591.jpg;N;Oval;Close Set;Button;Soft Angled;Pixie cut;Straight;clean shaven;fat;narrow;no dimples;thin;monolid;round
592;.\database\CHICAGO_MIX\C_FACE_MIX_0592.jpg;N;Square;Wide set;Droopy;Flat;Pixie cut;Coily;clean shaven;trianagle;round;no dimples;thin upper;round;square
593;.\database\CHICAGO_MIX\C_FACE_MIX_0593.jpg;N;Square;Close Set;Hooked;Soft Angled;Pixie cut;Straight;clean shaven;oval;round;no dimples;small;upturned;oval
594;.\database\CHICAGO_MIX\C_FACE_MIX_0594.jpg;N;Oval;Close Set;Droopy;Angled;Pixie cut;Curly;clean shaven;trianagle;broad;no dimples;small;downturned;round
595;.\database\CHICAGO_MIX\C_FACE_MIX_0595.jpg;N;Round;Close Set;Upturned;Soft Angled;Pixie cut;Straight;clean shaven;oval;narrow;no dimples;natural;monolid;oval
596;.\database\CHICAGO_MIX\C_FACE_MIX_0596.jpg;N;Square;Close Set;Button;Angled;Mohawk;Straight;clean shaven;oval;pointed;no dimples;thin;monolid;square
597;.\database\CHICAGO_MIX\C_FACE_MIX_0597.jpg;N;Long;Close Set;Button;Curved;Dreadlocks;Straight;clean shaven;oval;round;no dimples;thin;upturned;oval
598;.\database\CHICAGO_MIX\C_FACE_MIX_0598.jpg;N;Round;Close Set;Button;Rounded;Pixie cut;Straight;clean shaven;oval;broad;no dimples;thin upper;monolid;square
599;.\database\CHICAGO_MIX\C_FACE_MIX_0599.jpg;N;Square;Close Set;Aquiline;Flat;Pixie cut;Straight;clean shaven;trianagle;narrow;no dimples;thin;hooded;square
600;.\database\CHICAGO_MIX\C_FACE_MIX_0600.jpg;N;Round;Close Set;Droopy;Soft Angled;Pixie cut;Straight;clean shaven;oval;narrow;no dimples;thin;monolid;round
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
